ticker,bn_spot,bn_fut,cb,kr
A8,N,N,Y,N
ACE,Y,Y,N,N
ACH,Y,Y,Y,Y
ACX,N,N,N,Y
ALICE,Y,Y,Y,Y
AMP,Y,N,Y,N
AR,Y,Y,N,Y
ASTER,Y,Y,Y,Y
BANK,Y,Y,N,N
BASED,N,Y,N,Y
BB,Y,Y,N,N
BEL,Y,Y,N,N
BILL,N,Y,Y,Y
BLUE,N,N,N,Y
BNB,Y,Y,Y,Y
BOB,N,N,N,Y
BOBA,N,N,Y,Y
BTR,N,Y,N,Y
C,Y,Y,N,N
C98,Y,Y,Y,Y
CAKE,Y,Y,Y,Y
CAMP,N,N,N,Y
CELR,Y,Y,Y,Y
CHECK,N,N,Y,Y
COOKIE,Y,Y,Y,Y
COTI,Y,Y,Y,Y
CSPR,N,N,N,Y
CTK,Y,Y,N,N
DBR,N,N,Y,Y
DEXE,Y,Y,N,N
DYDX,Y,Y,N,Y
EDGEX,N,N,Y,Y
EDU,Y,Y,N,Y
EIGEN,Y,Y,Y,Y
FET,Y,Y,Y,Y
FLOKI,Y,N,Y,Y
FLR,N,N,Y,Y
FLUX,Y,Y,N,Y
FRAX,Y,Y,N,N
GALA,Y,Y,N,Y
GMX,Y,Y,N,Y
GNO,Y,N,Y,Y
GPS,Y,Y,N,N
GRASS,N,Y,N,Y
HEMI,Y,Y,N,N
HFT,N,N,Y,Y
HNT,N,N,Y,Y
ILV,Y,Y,Y,N
JOE,Y,Y,N,Y
KAIA,Y,Y,N,N
KSM,Y,Y,Y,Y
LISTA,Y,Y,N,N
MANTA,Y,Y,N,N
MAV,Y,Y,N,N
MERL,N,Y,N,Y
MET,Y,Y,Y,Y
METIS,Y,Y,Y,Y
PARTI,Y,Y,N,Y
PHA,Y,Y,N,Y
PONKE,N,N,N,Y
POPCAT,N,Y,Y,Y
PROMPT,N,Y,Y,Y
PUMPBTC,N,Y,N,N
PYR,N,N,Y,N
RECALL,N,Y,Y,N
REQ,Y,N,Y,Y
REZ,Y,Y,Y,Y
ROBO,Y,Y,Y,Y
RPL,Y,Y,Y,Y
S,Y,Y,Y,Y
SAPIEN,Y,Y,Y,Y
SD,N,N,Y,N
SFP,Y,Y,N,N
SKL,Y,Y,Y,N
SOLV,Y,Y,N,Y
SPACE,N,Y,N,Y
STABLE,N,Y,N,Y
STRK,Y,Y,Y,Y
SUNDOG,N,N,N,Y
SUSHI,Y,Y,Y,Y
SXT,Y,Y,Y,Y
THE,Y,Y,N,N
THQ,N,N,Y,Y
TOWNS,Y,Y,Y,N
TRB,Y,Y,Y,N
TURBO,Y,Y,Y,Y
UB,N,Y,N,N
UMA,Y,Y,Y,Y
UP,N,N,Y,Y
WAXL,N,N,Y,Y
WOO,Y,Y,N,Y
XAI,Y,Y,N,N
XVS,Y,Y,N,N
XYO,N,N,Y,Y
YFI,Y,Y,Y,Y
ZRC,N,N,N,Y
